gtin14,jan3,jan4,jan13keta,indicator
04946306118338,494,4946,4946306118338,i0
04946306118345,494,4946,4946306118345,i0
04946306118352,494,4946,4946306118352,i0
04946306119847,494,4946,4946306119847,i0
04946306119854,494,4946,4946306119854,i0
04946306119861,494,4946,4946306119861,i0
04946306119878,494,4946,4946306119878,i0
04946306119779,494,4946,4946306119779,i0
04946306119786,494,4946,4946306119786,i0
04946306119793,494,4946,4946306119793,i0
04946306119809,494,4946,4946306119809,i0
04946306136653,494,4946,4946306136653,i0
04946306137070,494,4946,4946306137070,i0
04946306137087,494,4946,4946306137087,i0
04946306137094,494,4946,4946306137094,i0
04946306137100,494,4946,4946306137100,i0
04946306137117,494,4946,4946306137117,i0
04946306137124,494,4946,4946306137124,i0
04946306137131,494,4946,4946306137131,i0
04946306137148,494,4946,4946306137148,i0
04946306137155,494,4946,4946306137155,i0
04946279103362,494,4946,4946279103362,i0
04946279107254,494,4946,4946279107254,i0
04946279114030,494,4946,4946279114030,i0
04946279117789,494,4946,4946279117789,i0
04946279117857,494,4946,4946279117857,i0
04946279117925,494,4946,4946279117925,i0
04946279118687,494,4946,4946279118687,i0
04946279118878,494,4946,4946279118878,i0
04946279121960,494,4946,4946279121960,i0
04946279126002,494,4946,4946279126002,i0
04946279126477,494,4946,4946279126477,i0
04946279130351,494,4946,4946279130351,i0
04946279130689,494,4946,4946279130689,i0
04946279131174,494,4946,4946279131174,i0
04946279131334,494,4946,4946279131334,i0
04946279131365,494,4946,4946279131365,i0
